diocese,oa_2022_code,oa_in_dio
Aberdeen and Orkney,S00137435,0.99802
Aberdeen and Orkney,S00174721,0.99802
Aberdeen and Orkney,S00137122,0.99803
Aberdeen and Orkney,S00137952,0.99808
Aberdeen and Orkney,S00170643,0.9981
Aberdeen and Orkney,S00170654,0.9981
Aberdeen and Orkney,S00137415,0.99813
Aberdeen and Orkney,S00165677,0.99815
Aberdeen and Orkney,S00174838,0.99818
Aberdeen and Orkney,S00137194,0.99821
Aberdeen and Orkney,S00174745,0.99821
Aberdeen and Orkney,S00165711,0.99822
Aberdeen and Orkney,S00170730,0.9983
Aberdeen and Orkney,S00139160,0.99831
Aberdeen and Orkney,S00137017,0.99832
Aberdeen and Orkney,S00174760,0.99832
Aberdeen and Orkney,S00137149,0.99834
Aberdeen and Orkney,S00174750,0.99844
Aberdeen and Orkney,S00138110,0.99846
Aberdeen and Orkney,S00170668,0.99849
Aberdeen and Orkney,S00137440,0.9986
Aberdeen and Orkney,S00170665,0.9986
Aberdeen and Orkney,S00170646,0.99862
Aberdeen and Orkney,S00174741,0.99867
Aberdeen and Orkney,S00170763,0.99868
Aberdeen and Orkney,S00174752,0.9987
Aberdeen and Orkney,S00135602,0.99872
Aberdeen and Orkney,S00138507,0.99872
Aberdeen and Orkney,S00174724,0.99875
Aberdeen and Orkney,S00170676,0.99877
Aberdeen and Orkney,S00170651,0.99885
Aberdeen and Orkney,S00174746,0.99885
Aberdeen and Orkney,S00138848,0.99886
Aberdeen and Orkney,S00170632,0.99886
Aberdeen and Orkney,S00165654,0.9989
Aberdeen and Orkney,S00137545,0.99897
Aberdeen and Orkney,S00174725,0.99899
Aberdeen and Orkney,S00137566,0.99901
Aberdeen and Orkney,S00174853,0.99904
Aberdeen and Orkney,S00137412,0.9991
Aberdeen and Orkney,S00170648,0.99916
Aberdeen and Orkney,S00137047,0.99926
Aberdeen and Orkney,S00137365,0.99938
Aberdeen and Orkney,S00170631,0.99938
Aberdeen and Orkney,S00165753,0.99939
Aberdeen and Orkney,S00137491,0.99941
Aberdeen and Orkney,S00137625,0.99942
Aberdeen and Orkney,S00170657,0.99943
Aberdeen and Orkney,S00170733,0.99947
Aberdeen and Orkney,S00165682,0.99951
Aberdeen and Orkney,S00139123,0.99955
Aberdeen and Orkney,S00174742,0.99955
Aberdeen and Orkney,S00138434,0.99958
Aberdeen and Orkney,S00137282,0.99962
Aberdeen and Orkney,S00170752,0.99962
Aberdeen and Orkney,S00170670,0.99963
Aberdeen and Orkney,S00137572,0.99965
Aberdeen and Orkney,S00137693,0.99968
Aberdeen and Orkney,S00137290,0.9997
Aberdeen and Orkney,S00138478,0.99971
Aberdeen and Orkney,S00137241,0.99974
Aberdeen and Orkney,S00137548,0.99975
Aberdeen and Orkney,S00138362,0.99975
Aberdeen and Orkney,S00170653,0.99975
Aberdeen and Orkney,S00170746,0.99975
Aberdeen and Orkney,S00170650,0.99977
Aberdeen and Orkney,S00138097,0.99978
Aberdeen and Orkney,S00138117,0.99978
Aberdeen and Orkney,S00174784,0.99978
Aberdeen and Orkney,S00135309,0.99984
Aberdeen and Orkney,S00138517,0.99984
Aberdeen and Orkney,S00165823,0.99986
Aberdeen and Orkney,S00170615,0.99986
Aberdeen and Orkney,S00138844,0.99987
Aberdeen and Orkney,S00170756,0.99988
Aberdeen and Orkney,S00138944,0.99989
Aberdeen and Orkney,S00174831,0.99989
Aberdeen and Orkney,S00170782,0.9999
Aberdeen and Orkney,S00139053,0.99994
Aberdeen and Orkney,S00137271,0.99995
Aberdeen and Orkney,S00138912,0.99995
Aberdeen and Orkney,S00138233,0.99996
Aberdeen and Orkney,S00139130,0.99996
Aberdeen and Orkney,S00137053,0.99997
Aberdeen and Orkney,S00136962,0.99999
Aberdeen and Orkney,S00135307,1
Aberdeen and Orkney,S00135308,1
Aberdeen and Orkney,S00135310,1
Aberdeen and Orkney,S00135311,1
Aberdeen and Orkney,S00135312,1
Aberdeen and Orkney,S00135313,1
Aberdeen and Orkney,S00135314,1
Aberdeen and Orkney,S00135315,1
Aberdeen and Orkney,S00135316,1
Aberdeen and Orkney,S00135317,1
Aberdeen and Orkney,S00135318,1
Aberdeen and Orkney,S00135319,1
Aberdeen and Orkney,S00135320,1
Aberdeen and Orkney,S00135321,1
Aberdeen and Orkney,S00135322,1
Aberdeen and Orkney,S00135323,1
Aberdeen and Orkney,S00135324,1
Aberdeen and Orkney,S00135325,1
Aberdeen and Orkney,S00135326,1
Aberdeen and Orkney,S00135327,1
Aberdeen and Orkney,S00135328,1
Aberdeen and Orkney,S00135329,1
Aberdeen and Orkney,S00135330,1
Aberdeen and Orkney,S00135331,1
Aberdeen and Orkney,S00135332,1
Aberdeen and Orkney,S00135333,1
Aberdeen and Orkney,S00135334,1
Aberdeen and Orkney,S00135335,1
Aberdeen and Orkney,S00135336,1
Aberdeen and Orkney,S00135337,1
Aberdeen and Orkney,S00135338,1
Aberdeen and Orkney,S00135339,1
Aberdeen and Orkney,S00135340,1
Aberdeen and Orkney,S00135341,1
Aberdeen and Orkney,S00135342,1
Aberdeen and Orkney,S00135343,1
Aberdeen and Orkney,S00135344,1
Aberdeen and Orkney,S00135345,1
Aberdeen and Orkney,S00135346,1
Aberdeen and Orkney,S00135347,1
Aberdeen and Orkney,S00135348,1
Aberdeen and Orkney,S00135349,1
Aberdeen and Orkney,S00135350,1
Aberdeen and Orkney,S00135351,1
Aberdeen and Orkney,S00135352,1
Aberdeen and Orkney,S00135353,1
Aberdeen and Orkney,S00135354,1
Aberdeen and Orkney,S00135355,1
Aberdeen and Orkney,S00135356,1
Aberdeen and Orkney,S00135357,1
Aberdeen and Orkney,S00135358,1
Aberdeen and Orkney,S00135359,1
Aberdeen and Orkney,S00135360,1
Aberdeen and Orkney,S00135361,1
Aberdeen and Orkney,S00135362,1
Aberdeen and Orkney,S00135363,1
Aberdeen and Orkney,S00135364,1
Aberdeen and Orkney,S00135365,1
Aberdeen and Orkney,S00135366,1
Aberdeen and Orkney,S00135367,1
Aberdeen and Orkney,S00135368,1
Aberdeen and Orkney,S00135369,1
